CustomerID,회사명,업종,회사 규모,지역,가입 일자,최근 서비스 이용 날짜,구매 횟수,총 거래 금액,이탈 여부,모델명,구매 가격,구매 일자,평점,평균 평점
customer1@hanmail.net,Roach-Ramirez,정부 및 공공기관,중견기업,대전광역시,2022-12-22,2023-12-25,9,595000000,0,퓨전 일렉트릭 버스,120000000,2022-12-26,3,2.78
customer1@hanmail.net,Roach-Ramirez,정부 및 공공기관,중견기업,대전광역시,2022-12-22,2023-12-25,9,595000000,0,루미너스 리무진,90000000,2023-09-15,3,2.78
customer1@hanmail.net,Roach-Ramirez,정부 및 공공기관,중견기업,대전광역시,2022-12-22,2023-12-25,9,595000000,0,제타 컴팩트카,20000000,2023-01-27,4,2.78
customer1@hanmail.net,Roach-Ramirez,정부 및 공공기관,중견기업,대전광역시,2022-12-22,2023-12-25,9,595000000,0,스텔라 세단,45000000,2023-10-08,2,2.78
customer1@hanmail.net,Roach-Ramirez,정부 및 공공기관,중견기업,대전광역시,2022-12-22,2023-12-25,9,595000000,0,루미너스 리무진,90000000,2023-12-02,4,2.78
customer1@hanmail.net,Roach-Ramirez,정부 및 공공기관,중견기업,대전광역시,2022-12-22,2023-12-25,9,595000000,0,루미너스 리무진,90000000,2023-01-24,2,2.78
customer1@hanmail.net,Roach-Ramirez,정부 및 공공기관,중견기업,대전광역시,2022-12-22,2023-12-25,9,595000000,0,솔라 SUV,50000000,2023-05-28,2,2.78
customer1@hanmail.net,Roach-Ramirez,정부 및 공공기관,중견기업,대전광역시,2022-12-22,2023-12-25,9,595000000,0,스텔라 세단,45000000,2022-12-23,1,2.78
customer1@hanmail.net,Roach-Ramirez,정부 및 공공기관,중견기업,대전광역시,2022-12-22,2023-12-25,9,595000000,0,스텔라 세단,45000000,2023-10-13,4,2.78
customer2@hanmail.net,Hughes-Eaton,라이드 셰어링/카풀 서비스 기업,소기업,부산광역시,2021-08-24,2021-12-23,2,46000000,1,오메가 컴팩트카,23000000,2021-10-17,1,1.5
customer2@hanmail.net,Hughes-Eaton,라이드 셰어링/카풀 서비스 기업,소기업,부산광역시,2021-08-24,2021-12-23,2,46000000,1,오메가 컴팩트카,23000000,2021-12-08,2,1.5
customer3@naver.com,"Flynn, Stafford and Higgins",소규모 물품 배달 서비스 회사,중소기업,대구광역시,2022-08-22,2022-10-05,4,240000000,1,솔라 SUV,50000000,2022-09-11,2,2.5
customer3@naver.com,"Flynn, Stafford and Higgins",소규모 물품 배달 서비스 회사,중소기업,대구광역시,2022-08-22,2022-10-05,4,240000000,1,퓨전 일렉트릭 버스,120000000,2022-10-01,4,2.5
customer3@naver.com,"Flynn, Stafford and Higgins",소규모 물품 배달 서비스 회사,중소기업,대구광역시,2022-08-22,2022-10-05,4,240000000,1,스텔라 세단,45000000,2022-09-08,1,2.5
